	151_Le	173_Le	279_Le	294_Ob	295_Ob	75_Ob	138_Ob	65_Ob	283_Ob	96_IR	132_IR	95_IR	126_IR
MIR6879|NR_106939	44.72340719	55.08265522	14.38768722	31.48931139	13.66973625	27.93611502	11.90348313	59.59583961	31.90533443	72.71203229	42.12126835	61.87442443	11.07900563
MIR6878|NR_106938	0	0	0	0	13.66973625	0	0	0	9.115809837	12.11867205	0	15.46860611	11.07900563
MIR6877|NR_106937	0	8.114855457	0	0	0	0	12.27546698	0	0	0	10.85900107	0	22.84963179
SIKE1|NM_025073+NR_049742+NR_049741+NM_001102396	8.242593982	9.931127885	7.263279002	7.298170305	7.722367073	9.737701476	6.724567652	7.736279407	8.363751149	8.786200033	5.809565597	6.135607491	7.110673891
PCSK5|NM_001190482+NM_006200+NR_120409	4.994491674	7.090732932	6.64860677	6.911883867	8.527732818	5.863846146	4.538033199	7.711052028	6.61942185	9.940152553	9.319248229	6.611995858	3.071791207
VPS9D1|NM_004913	0.844199878	1.33681006	3.258986896	1.114486568	0.967613204	1.581967903	0.337035541	0	1.032421151	0.343128393	1.192622691	1.751914205	1.882147604
PDIA4|NM_004911	20.99818299	27.79722567	27.02077574	20.24084091	30.71522746	27.16957256	32.73457534	49.29980548	25.37418765	33.3263448	27.78119962	30.08832229	27.24714527
LINC01301|NR_103854	1.411642554	1.341221313	2.452305698	1.341796922	0.64720409	1.322656677	3.381476936	2.031559552	1.381103906	1.377042654	0.797705433	0.878847548	1.468723125
TXLNA|NM_175852	15.79679821	13.10288457	15.24566705	18.41691193	21.82141164	17.49210697	17.36379476	20.99522947	22.51772067	20.17925465	18.54881357	16.39104428	20.58255427
GPATCH4|NM_182679+NM_015590	17.80634781	13.9778842	8.372231079	16.39489737	21.35142812	13.68934316	12.83585462	17.15696297	9.91106279	19.29989713	19.03654535	13.26495649	11.5365597
OPRL1|NM_182647+NM_000913+NM_001200019	0.327606828	0.483116928	0.294445663	0.345997121	0.150199835	0.613910876	0.730818426	1.309650038	1.679004807	0.266314216	1.388455664	2.039584713	0.680199347
MCM9|NM_017696+NM_153255	1.632376538	1.615566412	0.393856224	2.711924289	1.122607954	1.911845284	1.629261482	0.48942249	2.280667523	3.29563201	0.760902208	0.635168812	0.909847829
C1orf122|NM_198446+NM_001142726	36.02718913	34.75453246	51.55587922	36.73752995	51.83108327	54.70822525	64.47720029	42.71035172	53.55538279	71.70214295	35.97858338	82.49923258	50.7787758
NRN1L|NM_198443	3.108735734	0	3.000275709	0	0.712640207	0	3.723364019	0	0.475231745	0	1.097947643	1.612840286	2.310313739
FOXRED2|NM_024955+NM_001102371	1.802223707	2.487907532	2.705649807	2.643599993	1.009893056	1.68861672	1.119243709	1.761129066	2.693831946	1.139477185	1.555917965	2.0778	0.446451821
EGLN1|NM_022051	2.49548647	2.268546092	5.084446379	3.660515612	2.033991832	2.208279408	1.771181757	2.216894474	3.89961898	1.915900899	1.958576464	2.157801679	1.854566348
TUBGCP6|NM_020461	6.865662754	6.385105765	2.997534138	6.387846047	3.147740911	2.297453988	3.654699223	2.091151365	2.748827579	3.454999029	2.771227878	3.901203144	4.616405274
CSNK1G1|NM_022048	1.56693534	1.781430788	1.628595083	1.591245822	1.160495684	0.790547829	1.251156132	1.060065545	1.068703803	0.979826381	0.851403722	1.125609593	1.074919954
